Title;Count
The Illuminatus! Trilogy;2
The Interpretation of Cultures;2
The Life and Opinions of Tristram Shandy;2
The Mad Scientists' Club;2
The Magus;2
The Man Who Walked Through Time;2
The Ministry for the Future;2
The Once and Future King;2
The Player of Games;2
The Princess Bride;2
The Secret History;2
The Silmarillion;2
The Simple Art of Murder;2
The Structure of Scientific Revolutions;2
The Wasp Factory;2
The World According to Garp;2
Thich Nhat Hanh;2
Through the Language Glass;2
Thursday's Child;2
Timm Thaler oder Das verkaufte Lachen;2
To the Lighthouse;2
Under Milk Wood;2
Understanding Media;2
Unsere Welt neu denken;2
Untenrum Frei;2
Use of Weapons;2
Vaterland;2
Vineland;2
Was man von hier aus sehen kann;2
Wem die Stunde schlägt;2
Where the Sidewalk Ends;2
Wie ich den Fischen begegnete;2
Wilde Schwäne;2
Wind in the Willows;2
Winnie-the-Pooh;2
Wintersonnenwende;2
Wolfsblut;2
Wüstenblume;2
Wyrd Sisters;2
2666;1
 A Moveable Feast;1
 a universe from nothing;1
 About Face;1
 Access To Knowledge: In The Age Of Intellectual Property;1
 ADHD og samliv;1
 Adressat Unbekannt;1
 Adult Children of Emotionally Immature Parents;1
 Advanced Programming in the UNIX Environment;1
 Aggression: Die Brutalisierung unserer Welt;1
 Agnes;1
 Alanna: The First Adventure;1
 Alice's Adventures in Wonderland;1
 all about love;1
 Alle Galgenlieder;1
 Alles inklusive;1
 alphabet;1
 Als die Tiere den Wald verließen;1
 Als die Träume in den Himmel stiegen;1
 AMALTHEA;1
 AMERICAN GODS;1
 Amongst Women;1
 Amphigorey;1
 An Edge in the Kitchen;1
 Anathem;1
 And Then There Were None;1
 And to My Nephew Albert I Leave the Island What I Won Off Fatty Hagan in a Poker Game...;1
 Anmerkungen zu Hitler;1
 Annie Learns to Ride;1
 Ark;1
 Armand der Vampir;1
 ARPA KADABRA: Die Geschichte des Internets;1
 As I Lay Dying;1
 Asterix als Gladiator;1
 Asterix auf Korsika;1
 Asterix der Gallier;1
 Astrid Lindgren;1
 Atlas der Erlebniswelten;1
 Aubrey Beardsley and Oscar Wilde;1
 Aufruhr im Gemüsebeet;1
 Auslöschung;1
 Ayla und der Clan des Bären;1
 Baby Blues;1
 Baustellen der Nation;1
 Being and Time;1
 Besetzt;1
 Best Word Book Ever;1
 Bilbo Le Hobbit;1
 Billard um halbzehn;1
 Biografien;1
 Body Work;1
 Bonjour Tristesse;1
 Bordbuch Delta VII: Alarm im Weltraum;1
 BOWIE: An Illustrated Record;1
 Brechts Kaukasischer Kreidekreis;1
 Bretonische Brandung;1
 Brevier für Weltleute;1
 Briefe und Aufzeichnungen;1
 Budjonnys Reiterarmee;1
 Cäius  der Lausbub aus dem alten Rom;1
 Calvin and Hobbes (Einsatzort Design und Work);1
 Cameron Newham and Bill Rosenblatt;1
 Canine Body Language: A Photographic Guide;1
 Chain-Gang All-Stars;1
 Chanten;1
 City of Bones;1
 Classic Feynman;1
 Code: The Hidden Language of Computer Hardware and Software;1
 Collected Fictions;1
 Collection of English Folk Songs;1
 Colour;1
 Commons: Für eine neue Politik jenseits von Markt und Staat;1
 CONFESS;1
 Connections;1
 Conni geht in den Zoo;1
 Constructing Canine Consent;1
 Cosmos;1
 Cryptonomicon;1
 Cthulhu Geistergeschichten;1
 Dan & Steve Peters/ Cher Merrill;1
 Das achte Leben (Für Brilka);1
 Das Anekdotenbuch;1
 Das Boot;1
 Das Buch der Abenteuer;1
 Das Buch Otto;1
 Das Computer-Buch für Vater und Sohn;1
 Das Einmaleins der Skepsis;1
 Das Enneagramm;1
 DAS GESAMTWERK;1
 Das große Heinz Erhardt Buch;1
 DAS JAGDGEWEHR;1
 Das Känguru-Manifest;1
 Das Totenschiff;1
