Author;Count
Rolf Hochhuth;2
Rosemary Sutcliff;2
Rüdiger Nehberg;2
Rudolf Wollmann;2
Russell Hoban;2
Ryunosuke Akutagawa;2
Sam Harris;2
Sax Rohmer;2
Sean Kleefeld;2
Shel Silverstein;2
Shirley Jackson;2
Sibylle Berg;2
Sigrid Heuck;2
Silvia Federici;2
Simon Sinek;2
Sinclair Lewis;2
Spike Milligan;2
Stefan Heym;2
Sten Nadolny;2
Stephen Baxter;2
Stephen Fry;2
Stephen Jay Gould;2
STEPHEN KING;2
Stephenie Meyer;2
Steve Krug;2
Susanna Clarke;2
Suzanne Collins;2
Sven Nordqvist;2
Sven Regener;2
T.H. White;2
Tad Williams;2
Tamsyn Muir;2
Tanith Lee;2
Terry Brooks;2
Theodor Storm;2
Theodor W. Adorno;2
Thomas Glavinic;2
Thor Heyerdahl;2
Thornton Wilder;2
Timothy Snyder;2
Timur Vermes;2
Tom DeMarco;2
Tony Hillerman;2
Torey L. Hayden;2
Travis Baldree;2
Tschingis Aitmatow;2
Tupoka Ogette;2
Tyson Yunkaporta;2
Unknown;2
Vance Packard;2
Voltaire;2
W. Richard Stevens;2
Walter Isaacson;2
Waris Dirie;2
Wilhelm Weischedel;2
William Faulkner;2
William Goldman;2
William Least Heat Moon;2
Wolf Durian;2
Wolfgang Borchert;2
Wolfgang Hohlbein;2
Wolfgang und Heike Hohlbein;2
Zadie Smith;2
 A Bear Called Paddington;1
 A General Theory of Love;1
 A Négyszögletű Kerek Erdő;1
 A rejtély titka;1
 A Short Walk in the Hindu Kush;1
 Abandonment to Divine Providence;1
 An Illustrated Treasury of Swedish Folk and Fairy Tales;1
 Anastasia Krupnik;1
 Anna Karenin;1
 Another Roadside Attraction;1
 Anywhere But Here;1
 Bartleby the Scrivener;1
 Binyavanga Wainaina;1
 Blumen für Algernon ;1
 Carolyn Keene;1
 Carson McCullers;1
 Casanova in Bolzano;1
 City of Quartz;1
 Classic Shell Scripting;1
 Collected Works;1
 Core Transformation: Reaching the Wellspring Within;1
 Daniel Keyes;1
 David James Duncan;1
 Die Hexer-Saga;1
 DIE LETZTE WELT ;1
 Die Schule der Gottlosigkeit;1
 Die ungleiche Entwicklung;1
 Ein Gentleman in Moskau;1
 ES;1
 Extremely Loud & Incredibly Close;1
 Fear Up Harsh;1
 Fimfarum;1
 Foreigner;1
 FUNNY PICTURE BOOK;1
 Glanz & Gloria der Beatniks;1
 Grimms Märchen;1
 Hackers: Heroes of the Computer Revolution;1
 Harold and the Purple Crayon;1
 Heilpflanze Haschisch;1
 Hojoki: Visions of a Torn World;1
 House of Stairs;1
 Human-Computer Interaction;1
 Hymns A & M Revised;1
 Ilias;1
 Illustrated Lyrics;1
 Im Westen nichts Neues;1
 Independent People;1
 J. Laurie Snell ;1
 Jitterbug Perfume;1
 Journey of Souls;1
 Judith Binney;1
 JV Pleva/D Defoe;1
 La Madre;1
 Lehrer-Schüler Konferenz;1
 Les Misérables;1
 Letters from Iceland;1
 Lewis Carroll;1
 littleblackbastard;1
 Logic and Databases;1
 Lolita;1
 Mammut Buch der Technik;1
 Maskerade;1
 Metaphase;1
 Metsän seinä on vain vihreä ovi;1
 Moreta Die Drachenherrin von Pern;1
 Music For Chameleons;1
 My Friend Flicka;1
 My Side of the Mountain;1
 Neuromancer;1
 Neverwhere;1
 No Author;1
 No Value;1
 No Value extraction possible;1
 Noční Orel;1
 Not In Our Genes;1
 Other Rooms;1
 Patricia J. Robinson;1
 Paul Dirksen;1
 Percy Jackson and the Olympians: The Lightning Thief;1
 Perhaps the Stars;1
 Petit manuel de résistance contemporaine;1
 PONTYPOOL changes everything;1
 Project Hail Mary;1
 Putin's People;1
 Quarter Share;1
 Richard Henry Dana;1
 Ringworld;1
 Roger T. Ames and David L. Hall;1
 Round the Horn Before the Mast;1
 Scruples;1
 Semantography (Blissymbolics);1
 Sheila;1
 Silent Spring;1
 Slugs;1
 Small Antennas for Small Spaces;1
 Sometimes a Great Notion;1
 Sorcery & Cecelia or The Enchanted Chocolate Pot;1
 Steven Johnson;1
 Sunset Western Garden Book;1
 Tajupný Ostrov;1
 Terence Conran;1
 Terre et Liberté;1
 The Airtight Garage;1
 The Anarchist Cookbook;1
 The Body Keeps the Score;1
 The Book of Dragons;1
 The Brethren: Inside the Supreme Court;1
 The Children of Húrin;1
 The Comedians;1
 The Communist Manifesto;1
 The Compleat Enchanter;1
 The Complete Yes Prime Minister;1
 The Dance of Anger;1
 The Diary of a Nobody;1
 The Emperor Wears No Clothes;1
 The Eyes of the Dragon;1
 The Fellowship of the Ring;1
 The Fifth Season;1
 The Geography of Nowhere;1
 The Goal;1
 The Gods Themselves;1
 The Green Mile;1
 The Hidden Spring;1
 The High Frontier;1
 The Hitchhiker's Guide to the Galaxy;1
 The Immortal Life of Henrietta Lacks;1
 The Island of Doctor Moreau;1
 The Kerbal Player's Guide;1
 The KLF Das Handbuch;1
 the long way to a small angry planet;1
 The Lottery and Other Stories;1
 THE MARCH OF FOLLY;1
 The Mists of Avalon;1
 The Nation on No Map;1
 The Pathetick Musician: Moving an Audience in the Age of Eloquence;1
 The Poor Had No Lawyers: Who Owns Scotland (And How They Got It);1
 The Quick Python Book;1
 The Rape of Nanking;1
 The Rings of Saturn;1
 The Road to Serfdom;1
 The Satanic Verses;1
 The Secret Power Within;1
 The Silmarillion;1
 the sky road;1
 The Stone Diaries;1
 The Stroke: Theory Of Writing;1
 The Summer Book;1
 The Third Policeman;1
 The Thought Gang;1
 The Visual Display of Quantitative Information;1
 The Windup Girl;1
 The Worst Journey in the World;1
 Tukikohta;1
 Unix System Administration Handbook;1
 Vater und Sohn;1
 Waterloo Creek;1
 Where the Sidewalk Ends;1
 White Masks;1
 why won't you apologize?;1
 Wilde orchideeën van Europa I;1
 William - The Outlaw;1
 William Powell;1
 Wilt;1
 Woman on the Edge of Time;1
 Woman's Inhumanity to Woman;1
100 New York Calligraphers;1
100 selected poems;1
1001 Nacht;1
1066: The Year of the Conquest;1
12 Birds to Save Your Life;1
A Book of Real Science;1
A Brief History of Time;1
A Court Divided;1
A Dictionary of Egyptian Gods and Goddesses;1
A Distant Mirror: The Calamitous 14th Century;1
A Door Into Ocean;1
A Heartbreaking Work of Staggering Genius;1
A History of the Roman Empire in 21 Women;1
A Little Princess;1
A People's History of the United States;1
A People's Tragedy;1
A Psalm for the Wild-Built;1
A Separate Peace;1
A Short History of Byzantium;1
A Short History of Nearly Everything;1
A Short Walk In The Hindu Kush ;1
A Suitable Boy;1
A Tale for the Time Being;1
A Thousand Splendid Suns;1
A Trouble Of Fools;1
A Walk Across America;1
A Walk in the Woods;1
A Wild Sheep Chase;1
A. Conan Doyle;1
A. E. Housman;1
Abaddon's Gate;1
Abraham A. Moles;1
Acharya S;1
Adam C. Engst;1
Adam Silvera;1
Adamson;1
Adele Faber & Elaine Mazlish;1
Adult Children of Emotionally Immature Parents;1
Against Method;1
Against the Country;1
Against the Grain;1
Aggression als Chance;1
Agustina Bazterrica;1
Alan Cooper;1
Alan Moore Brian Bolland;1
Alan Moorehead;1
Alan W. Watts;1
Alan Watts;1
Albin Huber;1
Aleksandr I. Solzhenitsyn;1
Alex Kölpin;1
Alex Krieger and David Cobb ;1
Alexander K. Dewdney;1
ALFRED JARRY;1
Alfred W. Blumrosen & Ruth G. Blumrosen;1
Alfred Wainwright;1
Ali Shaw;1
Alice May Brock;1
Alice's Adventures in Wonderland and Through the Looking Glass;1
Alkumetsä;1
all about love;1
All Systems Red;1
All-of-a-Kind Family;1
Allan Sherman;1
ALVIN TRESSELT;1
Am Anfang war Erziehung;1
Ambrose Bierce;1
Amélie Nothomb;1
AMOS OZ;1
Amos Oz;1
Amusing Ourselves to Death;1
Amy Jeffs;1
An Absolutely Remarkable Thing;1
An Astronaut's Guide to Life on Earth;1
An Introduction to Cybernetics;1
An Unkindness of Ghosts;1
An Unquiet Mind;1
Anarchism and the Black Revolution;1
Anatole France;1
Andreas Malessa;1
Andy Hunt;1
Animalia;1
Ann Leckie;1
Anna Burns;1
Anna Lowenhaupt Tsing;1
Anne Carson;1
ANNE CARSON;1
ANNE FINE;1
Anständig essen;1
Ant and Bee Time;1
Antero Alli;1
Anthony Bourdain;1
Anthony Horowitz;1
Anthony Trollope;1
Antropologia Estrutural;1
Are You There God? It's Me  Margaret.;1
Arkadi & Boris Strugatski;1
Armed Joy;1
Arnold Lobel;1
Aron Ralston;1
Around the Ocean in 80 Fish & Other Sea Life;1
Art of War;1
Artemis Fowl;1
Arthur C. Brooks;1
Arthur Ripstein;1
As cidades invisíveis;1
Asimov's New Guide to Science;1
Assassin's Apprentice;1
Aunts Aren't Gentlemen;1
Avalonin Usvat;1
B. H. Liddell Hart;1
Babbitt;1
Baldwin;1
Banana Yoshimoto;1
Baptiste Morizot  ;1
Barbara Demick;1
Barbara Ehrenreich;1
Batman: Arkham Asylum: A Serious House on Serious Earth;1
Bear;1
Beatrix Potter;1
Beelzebub's Tales to His Grandson;1
Behind The Candelabra: My Life With Liberace;1
Ben H. Bagdikian;1
Benjamin Hoff;1
Bernd Heinrich;1
Bernt Spiegel;1
Better Homes and Gardens;1
Betty Mahmoody;1
Between Shades of Gray;1
Bevis: The Story of a Boy;1
Beyond Software Architecture;1
Bharati Mukherjee;1
Bill Mollison;1
Billiards at Half-Past Nine;1
Binti: The Complete Trilogy;1
Biohazard;1
Birding für Ahnunglose;1
Birds of North America;1
Bishop Nikolai Velimirovich;1
Bitches Get Everything ;1
BLACK RECONSTRUCTION in AMERICA;1
Black Spring;1
Blackberry Wine;1
Bleak House;1
Blindness;1
Blood and Guts in High School;1
Blood Meridian;1
Blueberries for Sal;1
Bob Wyatt;1
Bobbie Ann Mason;1
Boeli van Leeuwen;1
Book and Dagger;1
Book of Greek Myths;1
Bourgeon;1
Brave New World;1
Brecht on Theatre;1
Brian W. Aldiss;1
Bridge of Birds;1
Bruno Latour;1
Bryan Miller und Marie Rama;1
Buddhism in a New Light;1
Bullshit Jobs;1
Bury My Heart at Wounded Knee;1
C. G. Jung;1
C. Wright Mills;1
Caliban's War;1
California;1
Camus;1
Cao Xueqin;1
Capital Volume 1;1
CAPS LOCK;1
Carol Ann Duffy;1
Caste: The Origins of Our Discontents;1
Cat's Cradle;1
Cat's Eye;1
Categories for the Working Mathematician;1
Cathedral;1
Catherine Storr;1
Chaos: Making a New Science;1
Charles Hampden-Turner;1
Charles Olson;1
Charles Seife;1
Charlotte's Web;1
Chas Addams;1
Chet Raymo;1
China Mieville;1
Christian Parenti;1
Christopher Evans;1
Cien años de soledad;1
Circe;1
City of Night;1
Claudia Roden;1
Clearing the Plains;1
Client-Centered Therapy;1
Clifford D. Simak;1
Closing Time;1
Cloud Atlas;1
Collected Poems;1
Colony Mars;1
Colorless Tsukuru Tazaki and His Years of Pilgrimage;1
CommodoreAuthor;1
Common People;1
Compilers Principles Techniques & Tools;1
Complete Hindi;1
Condensed Chaos;1
Contact;1
Contempt;1
Contro le elezioni;1
Cookery Book;1
Cooking with Pomiane;1
Copenhagenize;1
Coraline;1
Corinne Hofmann;1
Corto Maltese en Sibérie;1
Cosmic Trigger: Final Secret of The Illuminati;1
Courting the Wild Twin;1
Criticism and the Growth of Knowledge;1
Crónica de una muerte anunciada;1
Cruel Shoes;1
Cryptonomicon;1
Cultural Amnesia;1
Cyberpunk: Outlaws and Hackers on the Computer Frontier;1
D'Aulaires' ;1
Dan Savage;1
Dandelion Wine;1
Daniel J. Siegel;1
Daniel Manus Pinkwater;1
Daniel Quinn;1
Daniil Kharms ;1
Das bonbonfarbene tangerinrot-gespritzte Stromlinienbaby ;1
Das fliegende Spaghettimonster;1
Das große Heinz Erhardt Buch;1
Das Leben der Renée von Catte;1
Das siebente Brennesselhemd;1
Das Unsterblichkeitsprogramm;1
David Baldacci;1
David Copperfield;1
David Einhorn;1
David Forrest;1
David Gerrold;1
David Hinton;1
David R. Hawkins;1
David R. Montgomery;1
David R. Montgomery and Anne Biklé;1
David Zinn;1
De Kapellekensbaan Zomer te Ter-Muren;1
De Naam van de Roos ;1
Deadhouse Gates;1
Deborah Ellis;1
Deborah Tannen;1
Declare;1
Defending Jacob;1
Der Alkoholiker Alkoholmißbrauch und Alkoholkriminalität;1
Der erste Mensch;1
Der ewige Krieg;1
Der Fönig;1
Der Fürst;1
Der gestreifte Kater und die Schwalbe Sinhà;1
Der Hauptmann von Köpenick;1
Der Hexer von Salem;1
Der kühne Bräutigam;1
Der Mann mit der Ledertasche;1
Der Meister und Margarita;1
Der Mensch ist ein Großer Fasan auf der Welt;1
Der Mensch und seine Zeichen;1
Der Richter und sein Henker;1
Der Ring des Nibelungen;1
Der SS-Staat;1
Deschooling Society;1
Devon Price;1
Dialectics of Nature;1
Diary of an Apprentice Astronaut;1
Die Blechtrommel;1
Die dampfenden Hälse der Pferde im Turm von Babel;1
Die drei ??? und das Gespensterschloss;1
Die Farbe Lila;1
Die Flußwelt der Zeit;1
Die fraktale Geometrie der Natur;1
Die Geschichte der Kunst;1
Die Geschichte von Zeb;1
Die Hermetische Garage;1
Die Kunst der Täuschung;1
Die Kunst recht zu behalten;1
Die Letzten ihrer Art;1
Die Nachtseite des Bewußtseins;1
Die offene Gesellschaft und ihre Feinde;1
Die Physiker;1
Die Wahlverwandtschaften;1
Diedrich Diederichsen;1
Diet for a Small Planet;1
Dieter Kühn;1
Dietmar Aichele;1
Digital Fortress;1
Disclosure;1
DNS and BIND;1
Do Androids Dream of Electric Sheep?;1
Doctor Zhivago;1
Dodie Smith ;1
Dominance & Affection: The Making of Pets;1
Don Miguel Ruiz;1
Don Quixote;1
Donald Alcock;1
Donald N. Levine;1
Dr Jekyll and Mr Hyde;1
Dr Jekyll and Mr Hyde with The Merry Men & Other Stories;1
Dr. Jackie Gardner-Nix;1
DR. ROBIN L. SMITH;1
Drachenfeuer;1
Dragonclaw;1
Dva Divoši;1
Dystopia;1
"E. E. ""Doc"" Smith";1
E. L. Konigsburg;1
Earl Boebert;1
Ed McBain;1
Edgar Allen Poe;1
Edited by Adam Makkai;1
Edith Hamilton;1
EDUDANT UND FRANZIMOR;1
Edvard Munch;1
Edward Bellamy;1
Edwin A. Abbott;1
Effective Perl Programming;1
Ein Jahr mit Loki;1
Ein Sommernachtstraum;1
Eines Menschen Herz ;1
Elena Ferrante;1
Elisha Kent Kane;1
Elizabeth George;1
Elizabeth Goudge;1
